Status,CameraX,MotorY,CameraY,MatchLevel,MotorX,
0.0,0.0,309.306182861,0.0,0.0,110.000030518,
1.0,278.25390625,318.30960083,342.953125,85.46484375,110.000099182,
1.0,262.41796875,327.327545166,344.015625,87.57421875,110.000030518,
1.0,242.5,333.314300537,343.39453125,86.16796875,109.999931335,
1.0,281.5,342.323730469,336.24609375,90.96484375,110.000068665,
1.0,262.5,351.31161499,337.8359375,82.7578125,110.0,
1.0,241.94140625,357.317993164,331.0859375,90.28125,110.0,
1.0,281.92578125,366.309509277,329.02734375,90.39453125,110.000068665,
1.0,262.5,375.315063477,324.40234375,89.61328125,110.000038147,
1.0,241.5,381.310638428,321.9453125,89.55859375,109.999931335,
1.0,281.94140625,390.313781738,320.3671875,89.32421875,110.000030518,
1.0,262.5,399.313842773,318.0234375,88.64453125,109.999931335,
1.0,242.5,405.317749023,314.3671875,86.82421875,110.0,
1.0,283.11328125,414.315185547,312.0859375,91.1015625,109.999969482,
1.0,265.93359375,423.324432373,313.67578125,82.99609375,110.000030518,
1.0,247.0546875,429.320587158,308.6171875,90.203125,110.000068665,
1.0,287.76953125,438.332366943,306.26953125,89.23046875,110.0,
1.0,270.5,447.317260742,302.38671875,81.56640625,110.000068665,
1.0,250.3125,453.323791504,300.6015625,85.26171875,110.000068665,
1.0,290.12890625,462.315673828,296.9453125,90.89453125,110.0,
1.0,272.375,471.313659668,296.5,89.71875,109.999969482,
1.0,252.0703125,477.321807861,293.64453125,89.6640625,110.000068665,
1.0,291.5,486.318572998,291.48046875,92.02734375,110.0,
1.0,273.38671875,495.318206787,288.27734375,92.10546875,110.000068665,
1.0,251.62109375,501.313659668,286.48046875,90.21484375,110.000099182,
1.0,290.28515625,510.319244385,285.1796875,93.49609375,110.000068665,
1.0,270.5,519.336669922,281.9296875,92.11328125,110.000030518,
1.0,248.48046875,525.324462891,278.609375,94.4296875,110.000038147,
1.0,286.609375,534.328735352,276.94140625,98.28515625,109.999969482,
1.0,268.5,543.319946289,273.2421875,92.36328125,110.000030518,
1.0,249.140625,549.334472656,270.8984375,88.1875,109.999961853,
1.0,289.13671875,558.321044922,268.82421875,93.90625,110.000030518,
1.0,271.5,567.323242188,267.36328125,92.9375,110.0,
1.0,250.58984375,573.318969727,265.25,84.62109375,110.000030518,
1.0,288.76171875,582.320373535,262.3046875,84.1015625,109.999969482,
1.0,270.15625,591.322143555,261.89453125,84.203125,109.999969482,
1.0,251.77734375,597.330993652,261.89453125,86.1953125,110.0,
0.0,0.0,606.330444336,0.0,0.0,110.000099182,
0.0,0.0,615.332702637,0.0,0.0,110.0,
0.0,0.0,621.327087402,0.0,0.0,110.0,


Status,CameraX,MotorY,CameraY,MatchLevel,MotorX,0.0,0.0,310.036621094,0.0,0.0,110.0,
1.0,263.9765625,319.041595459,343.05859375,85.96484375,110.000068665,
1.0,248.5,325.037994385,345.43359375,83.81640625,110.0,
1.0,285.41796875,334.042358398,339.01171875,87.6328125,110.000068665,
1.0,266.5,343.031402588,336.00390625,91.75,110.0,
1.0,248.5,349.049926758,332.83984375,89.81640625,110.0,
1.0,284.81640625,358.035125732,330.85546875,89.66015625,110.000099182,
1.0,268.18359375,367.032897949,329.75,90.40625,109.999969482,
1.0,248.265625,373.03527832,324.96875,90.484375,110.000068665,
1.0,285.1640625,382.036193848,322.3671875,89.33984375,110.0001297,
1.0,267.48046875,391.041473389,319.8046875,89.36328125,110.0,
1.0,249.51953125,397.037475586,321.140625,82.68359375,110.000068665,
1.0,285.609375,406.043609619,314.5,87.0234375,110.0,
1.0,268.9921875,415.045471191,311.64453125,90.78125,110.000038147,
1.0,252.1640625,421.045654297,313.1953125,83.10546875,110.000068665,
1.0,290.171875,430.045135498,308.7109375,90.09765625,110.0,
1.0,274.16015625,439.035339355,307.33984375,89.1484375,110.0,
1.0,253.91796875,445.039611816,300.22265625,83.8515625,110.0,
1.0,292.93359375,454.041259766,300.28125,85.640625,110.000030518,
1.0,277.55078125,463.041137695,297.9765625,92.59765625,110.000068665,
1.0,258.5,469.038360596,294.5,87.71875,110.000030518,
1.0,294.70703125,478.038146973,292.23828125,89.484375,110.000038147,
1.0,277.98828125,487.040679932,292.0625,92.58203125,110.000068665,
1.0,259.10546875,493.044158936,288.0703125,92.23828125,110.000038147,
1.0,294.9375,502.041931152,287.37890625,91.11328125,110.000099182,
1.0,275.453125,511.047576904,284.921875,92.10546875,109.999969482,
1.0,256.2890625,517.049194336,281.96875,91.10546875,110.000099182,
1.0,291.71875,526.053039551,279.140625,94.4453125,110.0,
1.0,272.90625,535.042724609,276.9765625,97.26171875,110.000099182,
1.0,255.33984375,541.047363281,273.25390625,91.8125,110.000099182,
